region,zone,dealer,source,type,model,grade,color,booking_date,invoice_date,delivery_date,payment_type, sales amount 
Region 3,Zone 05,14112,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 3,Zone 05,14112,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 1,Zone 02,10131,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 6,Zone 11,14118,Website,Car,CLK Coupe,TAA,GREY,1/3/2022,11/3/2022,11/3/2022,Installment,"5,500,000.00"
Region 1,Zone 02,10140,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 1,Zone 02,10131,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 04,10160,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 03,20106,Chat,Passenger,SL-Class,BAC,WHITE,17/2/2022,29/4/2022,30/4/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10162,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 1,Zone 02,10151,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 2,Zone 04,10108,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 6,Zone 11,14117,Chat,Passenger,SL-Class,BAC,WHITE,2/9/2022,,,Installment,
Region 2,Zone 03,10122,Chat,Passenger,SL-Class,BAA,GREY,19/5/2022,22/5/2022,22/5/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13123,e-Quotation,Passenger,SL-Class,BAC,GREY,25/3/2022,10/6/2022,10/6/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13123,e-Quotation,Passenger,SL-Class,BAC,GREY,25/3/2022,10/6/2022,10/6/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10111,Chat,Passenger,SL-Class,BAC,WHITE,30/5/2022,28/9/2022,28/9/2022,Installment,"4,100,000.00"
Region 2,Zone 03,20106,TestDrive,Car,CLK Coupe,TAB,SILVER,14/2/2022,26/2/2022,28/2/2022,Installment,"5,500,000.00"
Region 5,Zone 09,12116,Chat,Passenger,SL-Class,BAB,WHITE,17/3/2022,3/5/2022,3/5/2022,Cash,"4,100,000.00"
Region 2,Zone 03,20106,Chat,Car,CL500,HAB,GREY,18/2/2022,29/7/2022,30/7/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11122,Website,Passenger,SL-Class,BAA,WHITE,6/4/2022,8/4/2022,9/4/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14102,Chat,Passenger,SL-Class,BAC,BLACK,6/7/2022,9/9/2022,9/9/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10140,e-Quotation,Car,CLK Coupe,TAB,BLACK,4/3/2022,31/8/2022,3/9/2022,Installment,"5,500,000.00"
Region 3,Zone 05,16135,Chat,Passenger,SL-Class,BAC,WHITE,24/2/2022,9/4/2022,9/4/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10115,Chat,Passenger,SL-Class,BAC,WHITE,6/5/2022,31/5/2022,31/5/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10134,Chat,Passenger,SL-Class,BAB,GREY,21/2/2022,,,Cash,
Region 6,Zone 11,14102,Chat,Car,CL500,HAC,WHITE,16/4/2022,25/7/2022,25/7/2022,Cash,"5,000,000.00"
Region 3,Zone 05,20112,TestDrive,Car,CL500,HAA,BLACK,3/3/2022,18/3/2022,18/3/2022,Installment,"5,000,000.00"
Region 1,Zone 01,10111,Chat,Passenger,SL-Class,BAB,BLACK,16/2/2022,26/3/2022,28/3/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16110,Chat,Passenger,SL-Class,BAA,BLACK,19/3/2022,30/3/2022,30/3/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10129,TestDrive,Passenger,SL-Class,BAA,GREY,15/2/2022,31/3/2022,31/3/2022,Cash,"4,100,000.00"
Region 6,Zone 11,14101,TestDrive,Car,CL500,HAC,RED-BLACK,26/4/2022,30/4/2022,7/5/2022,Installment,"5,000,000.00"
Region 3,Zone 05,10146,Chat,Passenger,SL-Class,BAB,WHITE,16/2/2022,19/3/2022,21/3/2022,Cash,"4,100,000.00"
Region 3,Zone 06,20110,Chat,Passenger,SL-Class,BAC,GREY,26/3/2022,28/3/2022,31/3/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14123,e-Quotation,Passenger,SL-Class,BAC,WHITE,21/2/2022,3/5/2022,3/5/2022,Installment,"4,100,000.00"
Region 3,Zone 06,20110,TestDrive,Car,CL500,HAC,GREY,21/7/2022,5/8/2022,5/8/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11116,TestDrive,Passenger,SL-Class,BAC,GREY,31/3/2022,31/3/2022,31/3/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11115,Chat,Car,CLK Coupe,TAC,WHITE,23/4/2022,2/5/2022,2/5/2022,Installment,"5,500,000.00"
Region 2,Zone 04,10160,Chat,Passenger,SL-Class,BAC,GREY,29/4/2022,23/7/2022,29/7/2022,Cash,"4,100,000.00"
Region 1,Zone 01,10111,TestDrive,Passenger,CS-Class,BAB,GREY,5/4/2022,20/5/2022,21/5/2022,Cash,"3,000,000.00"
Region 1,Zone 01,10111,TestDrive,Passenger,SL-Class,BAD,GREY,13/3/2022,16/3/2022,17/3/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10111,TestDrive,Car,CL500,HAC,WHITE,29/7/2022,,,Installment,
Region 1,Zone 01,10111,TestDrive,Passenger,SL-Class,BAC,RED,2/3/2022,4/3/2022,7/3/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10111,TestDrive,Car,CL500,HAC,RED-BLACK,19/4/2022,5/5/2022,6/5/2022,Cash,"5,000,000.00"
Region 6,Zone 11,14101,e-Quotation,Passenger,SL-Class,BAC,GREY,29/4/2022,31/10/2022,5/11/2022,Installment,"4,100,000.00"
Region 1,Zone 01,10111,TestDrive,Passenger,E-Class,HAB,GREY,13/9/2022,31/10/2022,3/11/2022,Cash,"4,500,000.00"
Region 6,Zone 11,14117,e-Quotation,Car,CL500,HAC,WHITE,7/7/2022,29/7/2022,29/7/2022,Cash,"5,000,000.00"
Region 3,Zone 06,10134,Chat,Passenger,SL-Class,BAC,WHITE,22/8/2022,31/8/2022,12/9/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14124,e-Quotation,Passenger,SL-Class,BAC,BLACK,6/7/2022,9/9/2022,9/9/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11115,TestDrive,Car,CL500,HAA,GREY,20/8/2022,,,Installment,
Region 1,Zone 02,10153,Chat,Car,CL500,HAB,BLACK,21/2/2022,31/5/2022,31/5/2022,Installment,"5,000,000.00"
Region 3,Zone 05,16117,TestDrive,Car,CLK Coupe,TAC,BLACK,6/4/2022,7/4/2022,9/4/2022,Cash,"5,500,000.00"
Region 4,Zone 07,11127,TestDrive,Car,CL500,HAC,RED-BLACK,15/7/2022,,,Installment,
Region 1,Zone 02,10153,Chat,Passenger,SL-Class,BAB,GREY,23/2/2022,24/2/2022,28/2/2022,Cash,"4,100,000.00"
Region 6,Zone 12,13141,Chat,Passenger,SL-Class,BAA,WHITE,15/2/2022,8/4/2022,8/4/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10131,Chat,Passenger,SL-Class,BAB,GREY,23/2/2022,24/2/2022,28/2/2022,Installment,"4,100,000.00"
Region 2,Zone 03,10119,Chat,Car,CL500,HAB,WHITE,16/2/2022,26/2/2022,28/2/2022,Installment,"5,000,000.00"
Region 1,Zone 02,20109,e-Quotation,Car,CL500,HAA,WHITE,6/3/2022,,,Cash,
Region 1,Zone 02,20109,e-Quotation,Car,CL500,HAA,WHITE,6/3/2022,,,Installment,
Region 3,Zone 05,10167,Chat,Passenger,SL-Class,BAC,BLACK,16/7/2022,29/7/2022,29/7/2022,Installment,"4,100,000.00"
Region 2,Zone 03,10121,Chat,Car,CLK Coupe,TAA,GREY,16/2/2022,28/3/2022,31/3/2022,Installment,"5,500,000.00"
Region 6,Zone 11,14106,Chat,Passenger,SL-Class,BAB,WHITE,18/2/2022,3/5/2022,4/5/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10114,Chat,Passenger,SL-Class,BAA,GREY,18/3/2022,24/3/2022,24/3/2022,Installment,"4,100,000.00"
Region 1,Zone 01,16144,Chat,Passenger,SL-Class,BAC,WHITE,17/2/2022,29/4/2022,30/4/2022,Installment,"4,100,000.00"
Region 1,Zone 02,16145,TestDrive,Car,CL500,HAC,GREY,28/4/2022,23/7/2022,23/7/2022,Installment,"5,000,000.00"
Region 2,Zone 03,10,TestDrive,Car,CL500,HAC,WHITE,5/3/2022,31/8/2022,2/9/2022,Cash,"5,000,000.00"
Region 4,Zone 07,11115,Chat,Car,CL500,HAB,WHITE,17/2/2022,8/8/2022,8/8/2022,Installment,"5,000,000.00"
Region 3,Zone 06,16131,Chat,Passenger,SL-Class,BAA,GREY,26/2/2022,16/5/2022,16/5/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10118,e-Quotation,Passenger,E-Class,HAB,WHITE,11/6/2022,26/7/2022,26/7/2022,Cash,"4,500,000.00"
Region 1,Zone 02,16145,Chat,Car,CLK Coupe,TAB,WHITE,25/2/2022,28/2/2022,4/3/2022,Cash,"5,500,000.00"
Region 6,Zone 12,13104,Chat,Passenger,SL-Class,BAC,WHITE,26/3/2022,31/3/2022,8/4/2022,Installment,"4,100,000.00"
Region 4,Zone 08,16109,Chat,Passenger,SL-Class,BAA,BLACK,29/7/2022,9/8/2022,20/8/2022,Cash,"4,100,000.00"
Region 2,Zone 03,20107,Chat,Car,CL500,HAC,GREY,18/5/2022,,,Cash,
Region 1,Zone 02,10140,e-Quotation,Car,CLK Coupe,HAB,GREY,15/6/2022,,,Installment,
Region 1,Zone 02,16145,Chat,Passenger,SL-Class,BAA,GREY,22/4/2022,23/4/2022,26/4/2022,Installment,"4,100,000.00"
Region 3,Zone 06,20110,e-Quotation,Car,CL500,HAB,WHITE,27/2/2022,10/5/2022,10/5/2022,Installment,"5,000,000.00"
Region 6,Zone 12,13135,Chat,Passenger,SL-Class,BAB,WHITE,12/4/2022,27/9/2022,29/9/2022,Installment,"4,100,000.00"
Region 5,Zone 09,12110,Chat,Car,CL500,HAC,RED-BLACK,5/3/2022,5/3/2022,5/3/2022,Cash,"5,000,000.00"
Region 3,Zone 05,10137,Chat,Passenger,SL-Class,BAB,BLACK,4/4/2022,21/6/2022,22/6/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11125,e-Quotation,Passenger,SL-Class,BAD,BLACK,31/3/2022,30/4/2022,27/5/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14123,TestDrive,Car,CL500,HAB,WHITE,20/8/2022,,,Cash,
Region 1,Zone 02,10118,Chat,Passenger,SL-Class,BAB,WHITE,19/2/2022,28/4/2022,29/4/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10161,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 4,Zone 07,11128,Chat,Passenger,SL-Class,BAB,GREY,1/3/2022,1/3/2022,1/3/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10102,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 2,Zone 04,10165,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 04,10164,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 3,Zone 05,10167,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 2,Zone 04,10160,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 3,Zone 05,10137,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 03,10,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 04,10108,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 2,Zone 04,10164,Chat,Passenger,SL-Class,BAD,WHITE,11/10/2022,19/10/2022,19/10/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10167,Chat,Passenger,SL-Class,BAB,BLACK,20/5/2022,31/5/2022,31/5/2022,Cash,"4,100,000.00"
Region 3,Zone 05,10146,TestDrive,Car,CL500,HAC,GREY,19/3/2022,24/3/2022,5/4/2022,Cash,"5,000,000.00"
Region 3,Zone 06,20110,TestDrive,Passenger,SL-Class,BAB,BLACK,18/4/2022,23/4/2022,23/4/2022,Installment,"4,100,000.00"
Region 3,Zone 06,20110,TestDrive,Passenger,SL-Class,BAB,BLACK,18/4/2022,23/4/2022,23/4/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14101,TestDrive,Passenger,SL-Class,BAD,WHITE,19/2/2022,3/3/2022,3/3/2022,Installment,"4,100,000.00"
Region 2,Zone 03,10147,TestDrive,Passenger,S-Class,BAB,SILVER,16/2/2022,9/4/2022,9/4/2022,Cash,"8,400,000.00"
Region 1,Zone 01,16120,TestDrive,Car,CL500,HAA,WHITE,30/7/2022,30/7/2022,1/8/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16129,Chat,Car,CL500,HAC,WHITE,30/6/2022,29/7/2022,29/7/2022,Cash,"5,000,000.00"
Region 2,Zone 04,10150,Chat,Passenger,C-Class,TAA,GREY,17/8/2022,27/8/2022,27/8/2022,Cash,"6,000,000.00"
Region 1,Zone 01,10145,Chat,Passenger,C-Class,TAA,GREY,17/8/2022,27/8/2022,27/8/2022,Cash,"6,000,000.00"
Region 2,Zone 03,10147,Chat,Passenger,C-Class,TAA,GREY,17/8/2022,27/8/2022,27/8/2022,Cash,"6,000,000.00"
Region 2,Zone 03,20106,Chat,Passenger,C-Class,TAA,GREY,17/8/2022,27/8/2022,27/8/2022,Installment,"6,000,000.00"
Region 4,Zone 08,16136,TestDrive,Car,CL500,HAB,WHITE,16/2/2022,29/7/2022,29/7/2022,Cash,"5,000,000.00"
Region 4,Zone 08,16136,TestDrive,Passenger,SL-Class,BAA,GREY,19/2/2022,23/5/2022,31/5/2022,Installment,"4,100,000.00"
Region 2,Zone 04,10160,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 1,Zone 01,16146,TestDrive,Car,CL500,HAC,WHITE,5/7/2022,,,Installment,
Region 2,Zone 03,10122,Chat,Car,CL500,HAB,GREY,2/4/2022,,,Installment,
Region 4,Zone 07,11115,TestDrive,Car,CL500,HAC,WHITE,17/2/2022,,,Cash,
Region 1,Zone 02,16145,TestDrive,Car,CL500,HAC,WHITE,29/7/2022,30/7/2022,10/8/2022,Installment,"5,000,000.00"
Region 4,Zone 08,16136,TestDrive,Car,CL500,HAB,WHITE,19/2/2022,2/9/2022,2/9/2022,Installment,"5,000,000.00"
Region 6,Zone 13,13140,Website,Passenger,SL-Class,BAD,GREY,19/2/2022,28/2/2022,28/2/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10116,e-Quotation,Car,CL500,HAC,BLACK,22/2/2022,25/5/2022,28/5/2022,Cash,"5,000,000.00"
Region 3,Zone 06,20110,TestDrive,Car,CL500,HAC,WHITE,16/2/2022,31/8/2022,31/8/2022,Installment,"5,000,000.00"
Region 3,Zone 05,20112,TestDrive,Passenger,SL-Class,BAA,GREY,16/2/2022,26/2/2022,26/2/2022,Cash,"4,100,000.00"
Region 6,Zone 13,13112,Chat,Passenger,E-Class,HAB,BLACK,21/3/2022,22/3/2022,27/3/2022,Cash,"4,500,000.00"
Region 2,Zone 03,20106,TestDrive,Car,CLK Coupe,TAC,WHITE,17/2/2022,7/5/2022,8/5/2022,Cash,"5,500,000.00"
Region 1,Zone 02,10140,e-Quotation,Passenger,E-Class,HAA,WHITE,11/5/2022,30/8/2022,30/8/2022,Installment,"4,500,000.00"
Region 3,Zone 06,10132,Website,Car,M-Class,BAC,SILVER,26/2/2022,26/2/2022,3/3/2022,Installment,"7,500,000.00"
Region 3,Zone 06,10132,Chat,Car,M-Class,BAC,SILVER,26/2/2022,26/2/2022,3/3/2022,Cash,"7,500,000.00"
Region 4,Zone 07,11136,Chat,Car,CLK Coupe,TAA,WHITE,18/2/2022,3/3/2022,3/3/2022,Cash,"5,500,000.00"
Region 4,Zone 07,11136,e-Quotation,Car,CLK Coupe,TAA,WHITE,18/2/2022,3/3/2022,3/3/2022,Installment,"5,500,000.00"
Region 1,Zone 01,10129,Chat,Passenger,SL-Class,BAA,BLACK,27/9/2022,1/10/2022,1/10/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10112,Chat,Passenger,SL-Class,BAA,WHITE,26/2/2022,30/3/2022,4/4/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10118,Chat,Passenger,SL-Class,BAC,BLACK,19/5/2022,30/5/2022,30/5/2022,Installment,"4,100,000.00"
Region 3,Zone 05,16117,Website,Passenger,E-Class,HAB,WHITE,25/2/2022,15/3/2022,15/3/2022,Cash,"4,500,000.00"
Region 4,Zone 07,11103,Chat,Car,CL500,HAB,GREY,28/2/2022,25/7/2022,25/7/2022,Cash,"5,000,000.00"
Region 3,Zone 06,14121,Chat,Passenger,SL-Class,BAB,GREY,11/3/2022,6/8/2022,6/8/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10143,e-Quotation,Passenger,E-Class,HAB,WHITE,25/2/2022,15/3/2022,15/3/2022,Installment,"4,500,000.00"
Region 3,Zone 06,10143,e-Quotation,Passenger,E-Class,HAB,WHITE,25/2/2022,15/3/2022,15/3/2022,Installment,"4,500,000.00"
Region 3,Zone 06,10143,e-Quotation,Passenger,E-Class,HAB,WHITE,25/2/2022,15/3/2022,15/3/2022,Installment,"4,500,000.00"
Region 5,Zone 09,12146,Chat,Passenger,SL-Class,BAD,BLACK,18/2/2022,17/3/2022,17/3/2022,Installment,"4,100,000.00"
Region 6,Zone 11,14108,TestDrive,Passenger,SL-Class,BAB,WHITE,5/7/2022,30/7/2022,30/7/2022,Cash,"4,100,000.00"
Region 4,Zone 08,16136,TestDrive,Car,CL500,HAA,WHITE,19/2/2022,4/4/2022,4/4/2022,Cash,"5,000,000.00"
Region 2,Zone 04,10165,Chat,Passenger,SL-Class,BAB,WHITE,19/2/2022,23/2/2022,24/2/2022,Cash,"4,100,000.00"
Region 3,Zone 06,16137,TestDrive,Car,CL500,HAC,WHITE,22/2/2022,22/2/2022,22/2/2022,Installment,"5,000,000.00"
Region 4,Zone 07,11105,Chat,Car,CL500,HAB,BLACK,1/3/2022,9/7/2022,9/7/2022,Cash,"5,000,000.00"
Region 3,Zone 05,14112,Chat,Car,CL500,HAB,GREY,8/3/2022,26/7/2022,29/7/2022,Installment,"5,000,000.00"
Region 3,Zone 05,10146,Chat,Passenger,SL-Class,BAC,GREY,20/5/2022,27/8/2022,30/8/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12147,Chat,Passenger,SL-Class,BAC,GREY,7/4/2022,21/4/2022,22/4/2022,Installment,"4,100,000.00"
Region 1,Zone 02,20109,e-Quotation,Car,CLK Coupe,HAA,WHITE,23/7/2022,26/8/2022,26/8/2022,Cash,"5,500,000.00"
Region 3,Zone 05,16117,Chat,Passenger,SL-Class,BAD,GREY,1/3/2022,11/3/2022,11/3/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12103,Website,Passenger,SL-Class,BAC,GREY,28/2/2022,9/4/2022,12/4/2022,Installment,"4,100,000.00"
Region 5,Zone 09,12103,Website,Passenger,SL-Class,BAA,WHITE,30/3/2022,30/3/2022,30/3/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12138,Chat,Car,CLK Coupe,TAA,GREY,18/2/2022,12/3/2022,12/3/2022,Installment,"5,500,000.00"
Region 4,Zone 07,11103,TestDrive,Car,CL500,HAC,WHITE,9/7/2022,,,Installment,
Region 6,Zone 13,13120,Chat,Passenger,SL-Class,BAB,WHITE,21/3/2022,6/9/2022,6/9/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12146,Chat,Passenger,SL-Class,BAD,BLACK,18/2/2022,17/3/2022,17/3/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13112,TestDrive,Passenger,SL-Class,BAA,WHITE,8/3/2022,9/3/2022,11/3/2022,Installment,"4,100,000.00"
Region 5,Zone 09,12129,Chat,Car,CLK Coupe,TAC,WHITE,2/7/2022,,,Cash,
Region 2,Zone 03,10121,e-Quotation,Car,CL500,HAA,GREY,30/6/2022,,,Cash,
Region 6,Zone 11,14119,Chat,Passenger,SL-Class,BAB,GREY,23/2/2022,5/3/2022,14/3/2022,Cash,"4,100,000.00"
Region 4,Zone 07,11127,TestDrive,Passenger,SL-Class,BAB,WHITE,18/2/2022,17/5/2022,17/5/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11113,Chat,Passenger,SL-Class,BAB,WHITE,30/4/2022,8/6/2022,8/6/2022,Cash,"4,100,000.00"
Region 3,Zone 06,14103,Website,Car,CL500,HAB,GREY,8/3/2022,26/7/2022,29/7/2022,Installment,"5,000,000.00"
Region 6,Zone 13,13112,Chat,Passenger,SL-Class,BAA,WHITE,26/3/2022,5/5/2022,5/5/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10114,Website,Car,CLK Coupe,TAC,BLACK,18/2/2022,31/3/2022,31/3/2022,Installment,"5,500,000.00"
Region 5,Zone 10,12145,Chat,Passenger,SL-Class,BAA,WHITE,21/3/2022,28/3/2022,28/3/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10126,Website,Passenger,SL-Class,BAB,GREY,3/3/2022,,,Cash,
Region 2,Zone 04,14130,TestDrive,Car,CL500,HAC,BLACK,28/3/2022,,,Installment,
Region 6,Zone 11,14117,Chat,Car,CL500,HAB,BLACK,5/5/2022,29/7/2022,29/7/2022,Installment,"5,000,000.00"
Region 6,Zone 11,14102,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 1,Zone 02,20109,Website,Car,CLK Coupe,TAA,GREY,18/2/2022,22/2/2022,22/2/2022,Installment,"5,500,000.00"
Region 3,Zone 05,10102,Website,Car,CLK Coupe,TAA,BLACK,20/2/2022,24/2/2022,28/2/2022,Installment,"5,500,000.00"
Region 3,Zone 06,10126,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Installment,"4,500,000.00"
Region 4,Zone 07,11121,Chat,Passenger,SL-Class,BAC,GREY,1/7/2022,31/8/2022,31/8/2022,Installment,"4,100,000.00"
Region 3,Zone 06,10134,Chat,Passenger,E-Class,HAB,WHITE,11/3/2022,26/3/2022,26/3/2022,Cash,"4,500,000.00"
Region 4,Zone 07,11119,Chat,Passenger,SL-Class,BAD,WHITE,19/2/2022,31/8/2022,31/8/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11132,Chat,Passenger,SL-Class,BAA,WHITE,23/2/2022,,,Cash,
Region 2,Zone 03,10122,Chat,Passenger,SL-Class,BAB,GREY,2/3/2022,25/4/2022,25/4/2022,Installment,"4,100,000.00"
Region 1,Zone 02,10116,Chat,Passenger,SL-Class,BAC,BLACK,3/4/2022,,,Installment,
Region 6,Zone 11,14107,Chat,Car,CLK Coupe,TAB,WHITE,20/6/2022,27/7/2022,27/7/2022,Installment,"5,500,000.00"
Region 5,Zone 09,12103,Website,Passenger,SL-Class,BAA,BLACK,1/3/2022,7/4/2022,8/4/2022,Cash,"4,100,000.00"
Region 5,Zone 09,12101,Chat,Passenger,SL-Class,BAA,WHITE,23/2/2022,,,Installment,
Region 5,Zone 09,12133,Chat,Passenger,SL-Class,BAA,WHITE,23/2/2022,,,Installment,
Region 5,Zone 10,12145,Chat,Passenger,SL-Class,BAC,BLACK,7/4/2022,,,Cash,
Region 5,Zone 09,12146,Chat,Car,CLK Coupe,TAB,WHITE,19/2/2022,7/4/2022,7/4/2022,Installment,"5,500,000.00"
Region 5,Zone 09,12126,Chat,Passenger,SL-Class,BAA,WHITE,23/2/2022,,,Cash,
Region 4,Zone 08,16103,Chat,Passenger,SL-Class,BAC,GREY,24/2/2022,24/3/2022,24/3/2022,Cash,"4,100,000.00"
Region 1,Zone 01,10129,e-Quotation,Passenger,SL-Class,BAA,BLACK,27/9/2022,1/10/2022,1/10/2022,Installment,"4,100,000.00"
Region 4,Zone 07,11106,TestDrive,Passenger,SL-Class,BAB,SILVER,26/2/2022,,,Cash,
Region 5,Zone 09,12118,TestDrive,Car,CL500,HAB,GREY,19/2/2022,28/2/2022,28/2/2022,Cash,"5,000,000.00"
Region 1,Zone 01,16123,Chat,Car,CL500,HAC,GREY,2/6/2022,,,Installment,
Region 5,Zone 09,12118,Chat,Passenger,SL-Class,BAA,WHITE,23/2/2022,,,Cash,
Region 1,Zone 02,16145,Chat,Passenger,SL-Class,BAA,WHITE,23/3/2022,24/6/2022,1/7/2022,Installment,"4,100,000.00"
Region 3,Zone 05,10146,Chat,Passenger,C-Class,TAA,GREY,26/6/2022,26/9/2022,26/9/2022,Installment,"6,000,000.00"
Region 1,Zone 02,10140,TestDrive,Car,CL500,HAC,GREY,4/3/2022,1/7/2022,1/7/2022,Installment,"5,000,000.00"
Region 3,Zone 05,16117,TestDrive,Passenger,SL-Class,BAB,WHITE,22/4/2022,24/4/2022,24/4/2022,Installment,"4,100,000.00"
Region 6,Zone 12,13135,TestDrive,Passenger,S-Class,BAB,WHITE,18/2/2022,9/4/2022,11/4/2022,Installment,"8,400,000.00"
Region 4,Zone 07,11125,TestDrive,Car,CLK Coupe,HAB,BLACK,21/6/2022,11/7/2022,11/7/2022,Installment,"5,500,000.00"
Region 5,Zone 09,12118,TestDrive,Passenger,SL-Class,BAC,WHITE,19/2/2022,21/2/2022,21/2/2022,Cash,"4,100,000.00"
Region 6,Zone 12,13142,Chat,Car,CLK Coupe,TAA,WHITE,25/5/2022,5/7/2022,5/7/2022,Installment,"5,500,000.00"
Region 3,Zone 05,20112,TestDrive,Car,CLK Coupe,TAC,BLACK,18/2/2022,31/3/2022,31/3/2022,Installment,"5,500,000.00"
Region 1,Zone 02,10116,Chat,Passenger,E-Class,HAB,BLACK,30/3/2022,30/3/2022,1/4/2022,Cash,"4,500,000.00"
Region 3,Zone 06,10143,Chat,Car,CL500,HAB,BLACK,9/10/2022,,,Installment,
Region 2,Zone 03,10122,Chat,Passenger,SL-Class,BAC,WHITE,26/4/2022,9/8/2022,14/8/2022,Installment,"4,100,000.00"
Region 6,Zone 12,13141,e-Quotation,Passenger,SL-Class,BAA,GREY,11/6/2022,29/7/2022,30/7/2022,Cash,"4,100,000.00"
Region 3,Zone 06,10126,Website,Passenger,SL-Class,BAC,BLACK,11/4/2022,30/4/2022,30/4/2022,Cash,"4,100,000.00"
Region 4,Zone 08,16126,Chat,Passenger,SL-Class,BAB,WHITE,27/2/2022,19/3/2022,21/3/2022,Installment,"4,100,000.00"
Region 6,Zone 13,13116,Chat,Passenger,SL-Class,BAD,WHITE,29/7/2022,,,Installment,
